,名称,评估机构数,wind一致预期（180天）,wind一致预期（90天）,wind一致预期（30天）,前收盘价,总股本,流通股本,pct_change, mk_cap 
2501.HK,迈越科技,,,,,0.9,500000000,135875000,,450000000
2502.HK,金源氢化,,,,,0.53,955640000,117178000,,506489200
2503.HK,中深建业,,,,,0.6,514800000,128700000,,308880000
2505.HK,EDA集团控股,1,3.57,3.57,,2.32,442930500,154484000,0.538793103,1027598760
0666.HK,瑞浦兰钧,,11.7,11.7,,15.34,2276874050,307378138,-23.73%," 34,927,247,927 "
2509.HK,荃信生物-B,,,,,10.74,222071600,56672400,,2385048984
2511.HK,君圣泰医药-B,,,,,0.98,514770668,255113950,,504475254.6
2512.HK,云工场,,,,,2.81,460000000,115000000,,1292600000
2515.HK,天津建发,,,,,0.405,215794749,58297826,,87396873.35
2516.HK,泛远国际,,,,,1.08,780000000,352599172,,842400000
6098.HK,碧桂园服务,9,4.4757,4.1875,6.08,5.65,3343049591,2123784236,-25.88%," 18,888,230,189 "
0336.HK,华宝国际,,1.665,1.665,,2.25,3229926876,936517976,-26.00%," 7,267,335,471 "
2520.HK,山西安装,,,,,2.16,1373486000,144383000,,2966729760
2521.HK,升辉清洁,,,,,0.41,1625000000,451912500,,666250000
1606.HK,国银金租,,0.881,0.881,,1.2,12642380000,1274288000,-26.58%," 15,170,856,000 "
2528.HK,尚晋国际控股,,,,,0.211,400000000,100000000,,84400000
2529.HK,泓盈城市服务,,,,,3.08,160000000,36387000,,492800000
1310.HK,香港宽频,,3.55,3.55,3.8,4.86,1311599356,747347906,-26.95%," 6,374,372,870 "
2777.HK,富力地产,,1.2,1.2,1.2,1.65,3752367344,1623128400,-27.27%," 6,191,406,118 "
2535.HK,泓基集团,,,,,0.6,2000000000,500000000,,1200000000
6808.HK,高鑫零售,,1.7267,1.83,,2.59,9539704700,2032038119,-29.34%," 24,707,835,173 "
2540.HK,乐思集团,,,,,1.69,500000000,143750000,,845000000
2545.HK,中赣通信,,,,,0.315,640000000,207016932,,201600000
2549.HK,卡罗特,2,9.485,9.485,9.485,5.36,555002600,133921100,0.769589552,2974813936
2550.HK,宜搜科技,,,,,8.88,328937244,89338108,,2920962727
2552.HK,华领医药-B,2,5.47,,,1.41,1055588761,753194571,,1488380153
6178.HK,光大证券,,,5.7,,8.142,4610787639,704088800,-29.99%," 37,541,032,957 "
0662.HK,亚洲金融,,2.627,2.627,2.627,3.81,926378000,113073444,-31.05%," 3,529,500,180 "
1860.HK,汇量科技,2,5.5,5.5,5.5,8,1574154164,450524935,-31.25%," 12,593,233,312 "
2559.HK,嘀嗒出行,,,,,1.92,993979853,335305421,,1908441318
2567.HK,七牛智能,,,,,0.93,1996644474,598866363,,1856879361
9666.HK,金科服务,1,4.3,4.3,,6.57,617760900,110081390,-34.55%," 4,058,689,113 "
1030.HK,新城发展,,1.3,1.3,,1.99,7065741521,2490126342,-34.67%," 14,060,825,627 "
0909.HK,明源云,5,2.0163,1.6493,,2.67,1958784020,990810979,-38.23%," 5,229,953,333 "
2599.HK,祥生控股集团,,,,,0.175,3043403000,667403000,,532595525
6680.HK,金力永磁,3,5.56,5.645,,9.22,1345236723,125466000,-38.77%," 12,403,082,586 "
0884.HK,旭辉控股集团,,0.2,0.2,0.2,0.33,10501450460,1971726067,-39.39%," 3,465,478,652 "
0817.HK,中国金茂,5,0.7036,0.6433,,1.08,13505971218,5294299777,-40.44%," 14,586,448,915 "
3380.HK,龙光集团,,0.6,0.6,,1.07,5685407450,1424326200,-43.93%," 6,083,385,972 "
2608.HK,阳光100中国,,,,,0.023,2550811477,613971571,,58668663.97
3700.HK,映宇宙,1,1.054,1.054,,1.95,1937442000,1249098000,-45.95%," 3,778,011,900 "
2616.HK,基石药业-B,1,,,,2.14,1284237212,656766787,,2748267634
0460.HK,四环医药,,0.359,0.359,,0.69,9329999206,4188749836,-47.97%," 6,437,699,452 "
2623.HK,爱德新能源,,,,,0.74,350286528,155326697,,259212030.7
1277.HK,力量发展,,0.638,0.638,,1.31,8430000000,2179236000,-51.30%," 11,043,300,000 "
2633.HK,雅各臣科研制药,,,2.35,,0.83,2000221000,811683000,1.831325301,1660183430
3330.HK,灵宝黄金,,,1.35,1.35,2.97,1243476055,356728800,-54.55%," 3,693,123,883 "
2660.HK,禅游科技,,,3.54,,2.9,1032303687,351468367,0.220689655,2993680692
2663.HK,应力控股,,,,,0.42,556930000,154170000,,233910600
0813.HK,世茂集团,,0.425,0.425,,1.11,3797831888,1374991302,-61.71%," 4,215,593,396 "
2668.HK,百德国际,,,,,0.36,4680000000,2383747000,,1684800000
1918.HK,融创中国,,0.5,0.5,,2.48,9231291354,6076872940,-79.84%," 22,893,602,558 "
0975.HK,MONGOL MINING,,,0.81,,8.28,1048640286,555376098,-90.22%," 8,682,741,568 "
2680.HK,创升控股,,,,,1.27,60000000,100000000,,76200000
2682.HK,润利海事,,,,,0.12,1000000000,391141250,,120000000
2683.HK,华新手袋国际控股,,,,,0.51,408626000,107488000,,208399260
2038.HK,富智康集团,,0.085,0.085,0.085,0.93,7884500000,2803465475,-90.86%," 7,332,585,000 "
0434.HK,博雅互动,,0.424,0.424,0.424,4.91,709576301,426838827,-91.36%," 3,484,019,638 "
0945.HK,宏利金融-S,,226,,226,247.8,1751879293,,," 434,115,688,805 "
2699.HK,新明中国,,,,,0.015,1878622000,914292000,,28179330
2700.HK,格林国际控股,,,,,0.395,659894693,289822963,,260658403.7
2708.HK,艾伯科技,,,,,0.064,2833867092,495054773,,181367493.9
2722.HK,重庆机电,,,,,0.64,3684640154,1063659470,,2358169699
0267.HK,中信股份,1,10,,,8.63,29090262630,6362039875,," 251,048,966,497 "
2728.HK,金泰能源控股,,,,,0.026,4455020888,1157344296,,115830543.1
2738.HK,华津国际控股,,,,,0.76,600000000,154500000,,456000000
2768.HK,佳源国际控股,,4,4,4,0.173,6846040963,1739812550,22.12138728,1184365087
2772.HK,中梁控股,,,,,0.129,4250883188,854021774,,548363931.3
0087.HK,太古股份公司B,,,,,10.34,6923190000,759628218,," 71,585,784,600 "
2799.HK,中信金融资产,1,0.36,,,0.64,80246679047,20925905736,," 51,357,874,590 "
2779.HK,中国新华教育,,,1,,0.66,1608583000,454130121,0.515151515,1061664780
2789.HK,远大中国,,,,,0.028,6208734000,2333334232,,173844552
2798.HK,久泰邦达能源,,,,,1.05,1600000000,736000000,,1680000000
2727.HK,上海电气,2,2.02,,,2.92,15579809092,2669270000,," 45,493,042,549 "
0247.HK,TST PROPERTIES,,,,,19.6,2121187655,831839208,," 41,575,278,038 "
2863.HK,高丰集团控股,,,,,0.3,666801000,134272000,,200040300
3996.HK,中国能源建设,,,,,0.967,41691163636,9262436000,," 40,315,355,236 "
1735.HK,中环新能源,,,,,8.41,4224000000,1333621680,," 35,523,840,000 "
6198.HK,青岛港,,7.1,,,5.39,6491100000,1869896000,," 34,987,029,000 "
2878.HK,晶门半导体,,0.227,,0.227,0.49,2497752351,1789586351,,1223898652
6963.HK,阳光保险,5,4.6444,,,2.8,11501522500,2444768513,," 32,204,263,000 "
2881.HK,武汉有机,,,,,5.29,93300000,23340000,,493557000
2882.HK,金至尊集团,,,,,0.47,269671601,44046451,,126745652.5
0412.HK,山高控股,,,,,5.12,6019431109,948560232,," 30,819,487,278 "
2885.HK,彼岸控股,,,,,0.43,400000000,100000000,,172000000
2886.HK,滨海投资,,1.42,1.42,1.42,1.04,1383255112,452870075,0.365384615,1438585316
2357.HK,中航科工,1,,,,3.78,7972854242,2657593267,," 30,137,389,035 "
2892.HK,万城控股,,,,,0.275,750000000,187500000,,206250000
2898.HK,盛禾生物-B,,,,,4.4,156666800,27500140,,689333920
0991.HK,大唐发电,,1.88,,1.88,1.41,18506710504,2834997578,," 26,094,461,811 "
3300.HK,中国玻璃,,,,,0.475,1836218258,1000157637,,872203672.6
3301.HK,融信中国,,2.9,2.9,2.9,0.44,1683431417,586294006,5.590909091,740709823.5
3302.HK,精技集团,,,,,0.104,920393394,296099000,,95720912.98
3303.HK,巨涛海洋石油服务,,,1.1,,0.64,2131598389,739501445,0.71875,1364222969
6993.HK,蓝月亮集团,1,2.015,,,4.23,5862993406,482628106,," 24,800,462,107 "
3309.HK,希玛医疗,,,,,2.03,1255560870,575366317,,2548788566
9889.HK,东莞农商银行,1,,,,3.48,6888545510,6469105600,," 23,972,138,375 "
3313.HK,雅高控股,,,,,0.29,1185094625,514873978,,343677441.3
3315.HK,金邦达宝嘉,,,2.24,,0.98,807928000,365244397,1.285714286,791769440
1888.HK,建滔积层板,1,11.5,,11.5,7.39,3120000000,818566000,," 23,056,800,000 "
3318.HK,中国波顿,1,,,,1.6,1080512146,395636585,,1728819434
1551.HK,广州农商银行,,,,,1.58,14409789327,1820335000,," 22,767,467,137 "
6199.HK,贵州银行,1,1.072,,,1.43,14588046744,2200000000,," 20,860,906,844 "
3321.HK,伟鸿集团控股,,,,,0.043,605580000,224902000,,26039940
3322.HK,永嘉集团,,0.099,0.099,0.099,0.178,1284400000,474998033,-0.443820225,228623200
0148.HK,建滔集团,1,23.5,,,18.68,1108311736,451540746,," 20,703,263,228 "
3326.HK,保发集团,,,,,0.188,1338375000,318678003,,251614500
1066.HK,威高股份,2,6.518,,,4.5,4570632324,3434572324,," 20,567,845,458 "
3329.HK,交银国际,,,,,0.33,2734392000,734892000,,902349360
0069.HK,香格里拉(亚洲),1,6.3,,6.3,5.41,3585525056,2148974848,," 19,397,690,553 "
3332.HK,中生联合,,0.068,0.068,0.068,0.64,946298370,212944000,-0.89375,605630956.8
3333.HK,中国恒大,,0.5,0.5,,0.163,13204300900,4520021165,2.067484663,2152301047
3336.HK,巨腾国际,,2.8,2.8,,0.9,1200008445,542421685,2.111111111,1080007601
3337.HK,安东油田服务,1,,,,0.59,2980465855,2067565769,,1758474854
0142.HK,第一太平,,4.7,,4.7,4.47,4255220029,2020153525,," 19,020,833,530 "
0917.HK,趣致集团,1,,,,71.65,262705446,106498706,," 18,822,845,206 "
3348.HK,中国鹏飞集团,,,,,1.04,500000000,91904000,,520000000
2522.HK,一脉阳光,1,22.355,,,49.2,356311832,129431036,," 17,530,542,134 "
3363.HK,正业国际,,0.7,0.7,,0.39,500000000,77458000,0.794871795,195000000
3366.HK,华侨城(亚洲),,,,,0.231,748366000,217472000,,172872546
3368.HK,百盛集团,,0.073,0.073,,0.106,2634532250,764615904,-0.311320755,279260418.5
2533.HK,黑芝麻智能,1,,,,30.55,569169253,409141393,," 17,388,120,679 "
3377.HK,远洋集团,,0.3,0.3,,0.295,7616095657,3109990391,0.016949153,2246748219
9677.HK,威海银行,1,,,,2.89,5980058344,1008861000,," 17,282,368,614 "
6055.HK,中烟香港,6,19.7,,,24.3,691680000,191670000,," 16,807,824,000 "
6623.HK,陆控,4,,,,9.63,1733352270,363992563,," 16,692,182,360 "
3389.HK,亨得利,,0.16,0.16,0.16,0.121,4404018959,2512673878,0.32231405,532886294
3390.HK,满贯集团,,,2,,3.49,800000000,143418674,-0.426934097,2792000000
0512.HK,远大医药,3,4.2945,,,4.53,3549571148,1088128766,," 16,079,557,300 "
3395.HK,吉星新能源,,,,,0.138,522886520,186092214,,72158339.76
9668.HK,渤海银行,1,,,,0.88,17762000000,3312000000,," 15,630,560,000 "
3398.HK,华鼎控股,,0.422,0.422,0.422,0.173,2099818000,609818000,1.439306358,363268514
3399.HK,粤运交通,,,,,1.37,799847800,207000000,,1095791486
0317.HK,中船防务,2,18.245,,,10.52,1413506378,246130307,," 14,870,087,097 "
3601.HK,鲁大师,,,,,0.83,269000000,84806042,,223270000
3603.HK,信基沙溪,,,,,0.047,1492944000,699825000,,70168368
2555.HK,茶百道,,,,,9.78,1477634250,255250250,," 14,451,262,965 "
3611.HK,花房集团,,,,,2.3,1050702900,222279100,,2416616670
2419.HK,德康农牧,1,66,,,36.8,388875636,83382196,," 14,310,623,405 "
3616.HK,恒达集团控股,,,,,0.26,1200000000,300000000,,312000000
2410.HK,同源康医药-B,,,,,38.5,370835818,126248673,," 14,277,178,993 "
3623.HK,中国金融发展,,0.67,,,0.85,552437336,244753936,,469571735.6
3626.HK,HSSP INTL,,,,,0.355,184000000,46000000,,65320000
3628.HK,仁恒实业控股,,0.284,0.284,,0.135,804000000,204000000,1.103703704,108540000
6190.HK,九江银行,,,,,5,2847367200,377700800,," 14,236,836,000 "
3638.HK,华邦科技,,,,,4.6,78923775,449291700,,363049365
3639.HK,亿达中国,,,3.55,,0.097,2583970000,761084250,35.59793814,250645090
1579.HK,颐海国际,20,14.8131,,,13.58,1036700000,455347011,," 14,078,386,000 "
3658.HK,新希望服务,1,2.79,2.79,,2,814126000,228478000,0.395,1628252000
0010.HK,恒隆集团,,,,,10,1361618242,594452762,," 13,616,182,420 "
3662.HK,星悦康旅,,,,,0.355,726250000,27554235,,257818750
3666.HK,上海小南国,,,0.6,,0.024,2213031000,877885375,24,53112744
3939.HK,万国黄金集团,1,,,,12.18,1083827200,235186000,," 13,201,015,296 "
9993.HK,金辉控股,,,,,3.11,4045227000,645227000,," 12,580,655,970 "
3678.HK,弘业期货,,,,,2.78,1007777778,249700000,,2801622223
3680.HK,瑞和数智,,,,,1.07,660868036,359804196,,707128798.5
3681.HK,中国抗体-B,,,,,1.06,1091755119,459852463,,1157260426
3683.HK,荣丰亿控股,,0.238,,,0.184,952613513,221868513,,175280886.4
3686.HK,祈福生活服务,,0.406,0.406,0.406,0.49,1015750000,274580000,-0.171428571,497717500
3688.HK,莱蒙国际,,3.6,3.6,3.6,0.5,1412732441,358468291,6.2,706366220.5
3689.HK,康华医疗,,,13.1,,2.07,334394000,67674300,5.328502415,692195580
0363.HK,上海实业控股,,,,,11.54,1087211600,400556852,," 12,546,421,864 "
2245.HK,力勤资源,1,,,,7.96,1555931350,240062600,," 12,385,213,546 "
1456.HK,国联证券,2,8.935,,,4.37,2831773168,442640000,," 12,374,848,744 "
3699.HK,光大永年,,,,280,0.375,441400000,110400000,,165525000
2232.HK,晶苑国际,,,,,4.23,2852822000,498972220,," 12,067,437,060 "
3708.HK,中国供应链产业,,,,,0.015,5594000000,1817800000,,83910000
0811.HK,新华文轩,,12.26,,,9.7,1233841000,351157100,," 11,968,257,700 "
3718.HK,北控城市资源,2,0.59,0.59,,0.485,3556664000,1116683223,0.216494845,1724982040
3728.HK,正利控股,,,,,0.041,1013000000,286200000,,41533000
3737.HK,中智药业,,1.02,,,0.98,863600000,217343000,,846328000
2225.HK,今海医疗科技,,7.417,,,9.2,1292500000,660000000,," 11,891,000,000 "
0754.HK,合生创展集团,,4.79,,,3.11,3792540571,1059457487,," 11,794,801,176 "
3768.HK,滇池水务,,3.19,3.19,,0.61,1029111000,168499000,4.229508197,627757710
3773.HK,银盛数惠,,0.995,,,2.95,415000000,135000000,,1224250000
3778.HK,中国织材控股,,0.517,0.517,0.517,0.445,1252350000,545927800,0.161797753,557295750
3788.HK,中国罕王,,,,,0.78,1960000000,645938334,,1528800000
3789.HK,御佳控股,,,,,0.06,1200000000,398400000,,72000000
3798.HK,家乡互动,,,2.27,,1.54,1283403500,559007500,0.474025974,1976441390
2696.HK,复宏汉霖,,20.33,,,21.5,543494853,84208831,," 11,685,139,340 "
1921.HK,达力普控股,,10,,,7.43,1503168000,378492400,," 11,168,538,240 "
3813.HK,宝胜国际,3,0.862,0.755,0.755,0.54,5326179615,1994628055,0.398148148,2876136992
3816.HK,KFM金德,,0.267,0.267,,0.27,600000000,150000988,-0.011111111,162000000
3818.HK,中国动向,,0.38,0.38,0.38,0.365,5887561025,3215535000,0.04109589,2148959774
3822.HK,三和建筑集团,,,,,0.046,1680000000,480000000,,77280000
3828.HK,明辉国际,,1.037,,1.037,0.78,734262697,392014497,,572724903.7
3830.HK,童园国际,,,,,0.03,1000000000,250000000,,30000000
3833.HK,新疆新鑫矿业,,0.688,,,0.82,2210000000,815580000,,1812200000
3836.HK,和谐汽车,,1.186,1.186,,0.62,1523264677,687626517,0.912903226,944424099.7
3838.HK,中国淀粉,,,,,0.17,5964492043,2259106849,,1013963647
3839.HK,正大企业国际,,1.13,,,1.71,240718310,65401347,,411628310.1
3848.HK,浩森金融科技,,,,,2.84,156457000,54483000,,444337880
3860.HK,EPS创健科技,,,,,0.64,522177419,25000000,,334193548.2
2228.HK,QUANTUMPH-P,1,7.25,,,3.26,3413523761,1462568137,," 11,128,087,461 "
1381.HK,粤丰环保,2,4,,,4.45,2439541169,235038537,," 10,855,958,202 "
3869.HK,弘和仁爱医疗,,6.374,,,6.7,138194000,32095200,,925899800
2453.HK,美中嘉和,,,,,15.02,716338416,178148724,," 10,759,403,008 "
3878.HK,VICON HOLDINGS,,,,,0.236,479600000,329600000,,113185600
3882.HK,天彩控股,,,,,1.19,1008587455,490383898,,1200219071
3883.HK,中国奥园,,1.62,,1.62,0.26,3853125261,2429115878,,1001812568
3886.HK,康健国际医疗,,0.431,0.431,,0.244,6773522452,2739105044,0.766393443,1652739478
1788.HK,国泰君安国际,,,,,1.1,9539503707,2509117641,," 10,493,454,078 "
3889.HK,大成糖业,,,7.7,,0.12,1890374856,505200570,63.16666667,226844982.7
3893.HK,易纬集团,,,,,0.5,155520000,130820000,,77760000
9636.HK,九方智投控股,5,12.26,,,23.4,448357000,123723000,," 10,491,553,800 "
0045.HK,大酒店,,,,,5.99,1666939850,371143569,," 9,984,969,701 "
2314.HK,理文造纸,,2.25,,,2.32,4295000000,1157271000,," 9,964,400,000 "
1578.HK,天津银行,,,,,1.64,6070551822,1038954500,," 9,955,704,988 "
3903.HK,瀚华金控,,0.448,,0.448,0.193,4600000000,932984000,,887800000
3877.HK,中国船舶租赁,2,2.06,,,1.61,6161467969,1028547535,," 9,919,963,430 "
3913.HK,合景悠活,,0.25,0.25,,0.34,2025858916,1039472422,-0.264705882,688792031.4
1811.HK,中广核新能源,,,,,2.31,4289924000,1172762000,," 9,909,724,440 "
3919.HK,金力集团,,0.124,0.124,0.124,0.043,540000000,234900000,1.88372093,23220000
3928.HK,S&T HLDGS,,,,,3.38,480000000,120000000,,1622400000
2252.HK,微创机器人-B,,35,,,9.75,971493831,283277265,," 9,472,064,852 "
9663.HK,国鸿氢能,,,,,17.86,518041669,79520000,," 9,252,224,208 "
3938.HK,LFG投资控股,,,,,0.179,405962965,82792395,,72667370.73
3983.HK,中海石油化学,1,2.67,,2.67,2,4610000000,1260567638,," 9,220,000,000 "
2066.HK,盛京银行,,5.607,,5.607,1.04,8796680200,963562000,," 9,148,547,408 "
3963.HK,融众金融,,0.063,,,0.45,590302571,169606255,,265636157
1773.HK,天立国际控股,,,,,4.3,2115654000,1057632431,," 9,097,312,200 "
6196.HK,郑州银行,,,,,0.99,9092091358,1412352820,," 9,001,170,444 "
3978.HK,卓越教育集团,10,5.918,6.1867,,3.39,847221000,387813769,0.824985251,2872079190
2666.HK,环球医疗,3,8.6,,,4.68,1891539661,860444561,," 8,852,405,613 "
1528.HK,红星美凯龙,,,,,2.02,4354732673,789865734,," 8,796,559,999 "
3989.HK,首创环境,,0.062,,,0.079,14294733167,4728939359,,1129283920
6660.HK,艾美疫苗,,,,,7.24,1211062599,411870346,," 8,768,093,217 "
3991.HK,长虹佳华,,,,,0.62,1454652000,397826898,,901884240
2531.HK,广联科技控股,,,,,23.8,366600000,73105500,," 8,725,080,000 "
1053.HK,重庆钢铁股份,,,,,0.95,8918602267,538127200,," 8,472,672,154 "
3997.HK,电讯首科,,,,,0.62,128342000,34456000,,79572040
1883.HK,中信国际电讯,,1.853,,,2.28,3700891382,1571546207,," 8,438,032,351 "
3999.HK,大成食品,,,,,0.58,1016189000,318144194,,589389620
2233.HK,西部水泥,1,1.45,,,1.52,5454332820,2113012950,," 8,290,585,886 "
6033.HK,电讯数码控股,,1.562,,1.562,0.79,403753000,101074000,,318964870
6036.HK,光丽科技,,,,,0.6,1075110000,325110000,,645066000
6038.HK,信越控股,,,,,0.234,1003000000,251000000,,234702000
1729.HK,汇聚科技,,,,,4.23,1948368000,565358000,," 8,241,596,640 "
0041.HK,鹰君,,30.25,,,10.9,747723345,221233479,," 8,150,184,461 "
6058.HK,兴证国际,,,,,0.227,4000000000,1236943267,,908000000
6288.HK,迅销-DRS,,,,,25.55,318220968,45945656,," 8,130,545,732 "
6063.HK,智中国际,,,,,0.218,2000000000,500000000,,436000000
0038.HK,第一拖拉机股份,,,,4.76,7.23,1123645275,391940000,," 8,123,955,338 "
6068.HK,光正教育,,2.5,2.5,2.5,0.152,2178154000,671228000,15.44736842,331079408
6086.HK,方舟健客,,,,,6,1340267457,330414675,," 8,041,604,742 "
2391.HK,涂鸦智能-W,5,,,,13.98,574592599,96570103,," 8,032,804,534 "
6080.HK,荣智控股,,,,,0.053,933750000,258750000,,49488750
6083.HK,环宇物流(亚洲),,,,,0.27,501843114,199899114,,135497640.8
2558.HK,晋商银行,,,,,1.37,5838650000,970650000,," 7,998,950,500 "
1558.HK,东阳光长江药业,,15.5,,,9.08,879967700,427567700,," 7,990,106,716 "
6093.HK,和泓服务,,,,,1.39,560000000,273560066,,778400000
6657.HK,百望股份,,,,,35.3,225906754,74455401,," 7,974,508,416 "
2473.HK,喜相逢集团,,,,,15,515625000,228391877,," 7,734,375,000 "
6100.HK,同道猎聘,3,4.335,4.485,,2.55,514483774,288659769,0.758823529,1311933624
6108.HK,新锐医药,,,,,0.045,1671846657,993233705,,75233099.57
0906.HK,中粮包装,1,,,,6.87,1113423000,266017000,," 7,649,216,010 "
6111.HK,大发地产,,,,,0.093,823537000,223537000,,76588941
6113.HK,UTS MARKETING,,,,,0.88,400000000,100000000,,352000000
6116.HK,拉夏贝尔,,10.44,10.44,,0.25,547671642,49589800,40.76,136917910.5
6117.HK,日照港裕廊,,,,,0.63,1660000000,460000000,,1045800000
6118.HK,奥星生命科技,,0.361,,,0.62,512582000,139382000,,317800840
6119.HK,天源集团,,,,,0.4,600000000,118614000,,240000000
0297.HK,中化化肥,2,1.27,,,1.08,7024455733,1762482718,," 7,586,412,192 "
6123.HK,圆通国际快递,,,4.67,,1.28,420190000,151960592,2.6484375,537843200
2495.HK,声通科技,,,,,209.8,35524210,9366573,," 7,452,979,258 "
6128.HK,烯石电车新材料,,,1.4,,0.047,1173806762,535461858,28.78723404,55168917.81
6133.HK,维太创科,,0.164,0.164,0.164,0.158,850000000,228664000,0.037974684,134300000
6136.HK,康达环保,,0.105,,,0.3,2139735000,295757004,,641920500
0819.HK,天能动力,1,7.5,,,6.55,1126124500,714510850,," 7,376,115,475 "
6158.HK,正荣地产,,2.2,2.2,2.2,0.078,4367756000,1553358000,27.20512821,340684968
1783.HK,晋景新能,,,,,5.78,1274695500,619517500,," 7,367,739,990 "
6162.HK,天瑞汽车内饰,,,,,0.079,2000000000,500000000,,158000000
6163.HK,彭顺国际,,,,,0.235,251364000,164325875,,59070540
6169.HK,宇华教育,,1.38,1.38,1.38,0.37,3606787883,1429552434,2.72972973,1334511517
9676.HK,十月稻田,,31,,,6.89,1068153150,138832040,," 7,359,575,204 "
9997.HK,康基医疗,,10.6,,,5.96,1210202000,358630500,," 7,212,803,920 "
6182.HK,乙德投资控股,,,,,0.212,800000000,212000000,,169600000
0697.HK,首程控股,3,1.705,,,0.96,7286015440,2379006428,," 6,994,574,822 "
6127.HK,昭衍新药,2,9.035,,,9.2,749477334,43324800,," 6,895,191,473 "
6188.HK,迪信通,,,7.5,7.5,0.83,886460400,67702488,8.036144578,735762132
6189.HK,爱得威建设集团,,,,,0.111,240930645,46754000,,26743301.6
1302.HK,先健科技,,2.64,,,1.48,4630612400,3228464972,," 6,853,306,352 "
6193.HK,泰林科建,,,,,0.164,400000000,144594000,,65600000
1440.HK,应星控股,,,,,5.19,1260000000,831500000,," 6,539,400,000 "
1709.HK,德林控股,,4.218,,4.218,4.2,1548692877,553154718,," 6,504,510,083 "
6606.HK,诺辉健康,,,,,14.14,457813108,325541556,," 6,473,477,347 "
1666.HK,同仁堂科技,2,7.02,,,5.05,1280784000,560780000,," 6,467,959,200 "
6601.HK,朝云集团,9,2.6063,2.6875,,1.9,1333333500,266417813,0.414473684,2533333650
0071.HK,美丽华酒店,,,,,9.18,690959695,276049063,," 6,343,010,000 "
3709.HK,赢家时尚,6,10.777,,,9,704050195,198062000,," 6,336,451,755 "
6609.HK,心玮医疗-B,1,22.8,20,,23.5,38834408,25866431,-0.14893617,912608588
6610.HK,飞天云动,,,,,0.375,1810000000,1041643699,,678750000
6611.HK,三巽集团,,,5.4,,0.085,675529000,203014000,62.52941176,57419965
0667.HK,中国东方教育,11,3.475,,,2.88,2178860802,528703596,," 6,275,119,110 "
0933.HK,非凡领越,,,,,0.64,9723772727,2818858376,," 6,223,214,545 "
6622.HK,兆科眼科-B,,1.25,,,1.35,546139172,210839721,,737287882.2
6686.HK,诺亚控股,1,,,,18.58,331533979,165057938,," 6,159,901,330 "
0119.HK,保利置业集团,1,,,,1.61,3821183118,2211222348,," 6,152,104,820 "
6628.HK,创胜集团-B,,17.92,17.92,17.92,0.72,436432445,223503084,23.88888889,314231360.4
6633.HK,青瓷游戏,1,3.11,,,2.43,691330500,207666636,,1679933115
6638.HK,金融壹账通,,2.08,,,0.7,1169980653,221076699,,818986457.1
6639.HK,瑞尔集团,,12.32,,12.32,3.07,564030950,296993350,,1731575017
2276.HK,康耐特光学,5,14.75,,,14.4,426600000,213859970,," 6,143,040,000 "
2490.HK,乐舱物流,,,,,21.3,286269156,127715862,," 6,097,533,023 "
3339.HK,中国龙工,1,,,,1.42,4280100000,1879945812,," 6,077,742,000 "
6661.HK,湖州燃气,,,,,5,202714500,34014500,,1013572500
6663.HK,国际永胜集团,,,,,0.485,800000000,240000000,,388000000
1789.HK,爱康医疗,9,6.5067,,,5.36,1122671437,333864377,," 6,017,518,902 "
6667.HK,美因基因,,,19.5,,7.7,232040800,105726019,1.532467532,1786714160
6668.HK,星盛商业,2,1.475,1.475,,1.21,1014516000,263516000,0.219008264,1227564360
6669.HK,先瑞达医疗-B,1,11.9,13,,7.05,313389171,50184864,0.843971631,2209393656
6677.HK,远洋服务,,,,,0.61,1184000000,406117500,,722240000
2068.HK,中铝国际,,,,3.4,2,2985836267,399476000,," 5,971,672,534 "
9879.HK,米高集团,,8,,,6.54,908940000,225000000,," 5,944,467,600 "
0517.HK,中远海运国际,1,5.2,,,4.03,1465971429,414787943,," 5,907,864,859 "
2105.HK,来凯医药-B,2,15.97,,,14.38,407736350,162544290,," 5,863,248,713 "
6689.HK,洪九果品,,8.59,,8.59,1.74,1606066406,177678275,,2794555546
0028.HK,天安,,,,,3.94,1466069491,121199425,," 5,776,313,795 "
6696.HK,多想云,,,,,0.285,1360000000,543211716,,387600000
6698.HK,星空华文,,,,,4.44,398538168,90648328,,1769509466
1855.HK,中庆股份,,,,,6.64,825000000,79743730,," 5,478,000,000 "
6805.HK,金茂源环保,,,,,1.21,1107750000,357822000,,1340377500
0990.HK,荣晖国际,,,,,0.405,13471344631,4972537455,," 5,455,894,576 "
0173.HK,嘉华国际,,2.77,,,1.73,3152728607,1159062078,," 5,454,220,490 "
6811.HK,太兴集团,,,2.6,2.6,0.65,1005399000,466949500,3,653509350
6812.HK,永顺控股香港,,,,,0.123,600000000,168000000,,73800000
6816.HK,瑞港建设,,,,,0.125,800000000,200000000,,100000000
0290.HK,国富创新,,,,,0.73,7458474999,3839923540,," 5,444,686,749 "
6820.HK,友谊时光,2,0.62,,,0.66,2180850000,1053407884,,1439361000
1523.HK,珩湾科技,,,,,4.93,1101627000,344604000,," 5,431,021,110 "
6822.HK,科劲国际,,,,,0.425,700000000,175000000,,297500000
1983.HK,泸州银行,,3.55,,,1.99,2717752062,627600000,," 5,408,326,603 "
2155.HK,森松国际,2,6.1875,,7.24,4.33,1221583000,463277800,," 5,289,454,390 "
