,名称,评估机构数,wind一致预期（180天）,wind一致预期（90天）,wind一致预期（30天）,前收盘价,总股本,流通股本,pct_change, mk_cap 
1380.HK,中国金石,,11.98,11.98,11.98,0.126,254957315,171743438,94.07936508,32124621.69
0696.HK,中国民航信息网络,11,12.78,12.905,,10.46,2926209589,932562000,23.37%," 30,608,152,301 "
1382.HK,互太纺织,,3.94,3.94,,1.46,1395764000,922669000,1.698630137,2037815440
1383.HK,LET GROUP,,,2.2,2.2,0.043,6936972746,1676329411,50.1627907,298289828.1
1398.HK,工商银行,4,5.4869,5.6164,5.895,4.56,3.56406E+11,86794044550,23.17%," 1,625,212,532,326 "
1388.HK,安莉芳控股,,,6.35,6.35,0.38,422416638,88679807,15.71052632,160518322.4
1389.HK,美捷汇控股,,0.041,0.041,0.041,0.255,554333332,114070110,-0.839215686,141354999.7
1393.HK,恒鼎实业,,0.151,0.151,0.151,0.061,4605259407,2511340700,1.475409836,280920823.8
1395.HK,强泰环保,,0.017,0.017,0.017,0.176,1107300000,352220000,-0.903409091,194884800
1396.HK,粤港湾控股,,,,2.16,0.209,814103100,233011689,,170147547.9
1397.HK,碧瑶绿色集团,,,,,0.64,415000000,84084000,,265600000
0939.HK,建设银行,4,7.1162,7.19,7.37,5.85,2.50011E+11,97559432285,22.91%," 1,462,564,218,293 "
1399.HK,锐信控股,,,,,0.21,1090001246,537663246,,228900261.7
1400.HK,满地科技股份,,,,,0.021,3801767365,149035000,,79837114.67
1401.HK,SPROCOMM INTEL,,,,,1.27,1000000000,260000000,,1270000000
1402.HK,超智能控股,,0.101,0.101,,0.28,1050500000,298400000,-0.639285714,294140000
1698.HK,腾讯音乐-SW,14,54.1845,53.8386,51.314,43.85,3432154260,1465792778,22.78%," 150,499,964,301 "
1406.HK,清晰医疗,,,,,0.41,528917125,205961298,,216856021.3
1407.HK,交运燃气,,,,,0.4,440000000,113300000,,176000000
1408.HK,濠江机电,,,,,0.138,500000000,125000000,,69000000
1410.HK,安领国际,,,,,0.233,1004217000,434217000,,233982561
1412.HK,隽思集团,,0.861,,,1.14,532000000,136990000,,606480000
1413.HK,广联工程控股,,,,,0.157,1200000000,868430000,,188400000
0371.HK,北控水务集团,2,2.668,2.61,,2.13,10046609871,4536932365,22.54%," 21,399,279,025 "
1416.HK,CTR HOLDINGS,,,,,0.043,1400000000,350000000,,60200000
1417.HK,浦江中国,,,,,0.177,405000000,72366000,,71685000
1418.HK,盛诺集团,,,,,0.231,1750002000,472596000,,404250462
1419.HK,盈健医疗,,,1.81,1.81,0.78,379552233,120355947,1.320512821,296050741.7
1420.HK,川控股,,0.041,,,0.131,1263427200,713970200,,165508963.2
1421.HK,工盖有限公司,,,,,0.249,125125200,1105750000,,31156174.8
1425.HK,捷隆控股,,,,,0.61,1250000000,411923495,,762500000
1426.HK,春泉产业信托,,,,,1.9,1459071125,991290250,,2772235138
1427.HK,中国天保集团,,,,,0.25,809456000,172079000,,202364000
2018.HK,瑞声科技,7,39.9644,42.8867,45.1767,35,1198500000,758011035,22.53%," 41,947,500,000 "
1429.HK,天任集团,,,,,0.029,1600000000,400000000,,46400000
1431.HK,原生态牧业,,,0.47,,0.161,4690496400,1348175480,1.919254658,755169920.4
1432.HK,中国圣牧,,0.248,0.248,0.248,0.172,8381295229,4030368369,0.441860465,1441582779
1433.HK,常达控股,,,,,0.046,2000000000,692000000,,92000000
1810.HK,小米集团-W,21,32.029,33.9858,33.9858,27.75,24962561012,14530367757,22.47%," 692,711,068,083 "
1442.HK,鹰辉物流,,,,,0.305,2064000000,574004000,,629520000
1443.HK,富临集团控股,,,0.96,,0.131,1300000000,318000000,6.328244275,170300000
1446.HK,鸿福堂,,,,,0.163,655944000,251891400,,106918872
1447.HK,新福港,,,,,0.6,400000000,78000000,,240000000
3690.HK,美团-W,32,192.0615,206.5732,202.498,168.7,6085258154,5306020822,22.45%," 1,026,583,050,580 "
1449.HK,立德教育,,,,,0.29,666667000,169993000,,193333430
1450.HK,交个朋友控股,3,,,,0.87,1387203163,805145945,,1206866752
1451.HK,万成集团股份,,,,,0.87,200000000,50000000,,174000000
1452.HK,迪诺斯环保,,0.094,,0.094,0.07,592844400,265317899,,41499108
1455.HK,科利实业控股,,,,,0.157,1278562500,341062500,,200734312.5
0303.HK,伟易达,,65,65,65,53.15,253069133,160126667,22.30%," 13,450,624,419 "
0856.HK,伟仕佳杰,6,5.78,6.16,6.16,5.05,1436451998,158914976,21.98%," 7,254,082,590 "
1459.HK,巨匠建设,,,,,0.36,533360000,133360000,,192009600
1460.HK,扬科集团,,,,,0.143,877590312,561423512,,125495414.6
1461.HK,中泰期货,,,4.03,,0.56,1001900000,258879000,6.196428571,561064000
1463.HK,C-LINK SQ,,1.504,,,0.41,2874251497,1202532000,,1178443114
1466.HK,钱唐控股,,,,,0.59,707031639,555209237,,417148667
1468.HK,京基金融国际,,4.329,4.329,4.329,0.71,1648072021,6724629735,5.097183099,1170131135
1469.HK,结好金融,,0.404,0.404,0.404,0.89,2500000000,625000000,-0.546067416,2225000000
1470.HK,富一国际控股,,0.2,0.2,0.2,0.058,800000000,200000000,2.448275862,46400000
1471.HK,众淼控股,,,,,9.7,141195600,35300000,,1369597320
1472.HK,生兴控股,,,,,0.047,1000000000,400000000,,47000000
1473.HK,环联连讯,,,,,0.193,995000000,350000000,,192035000
1618.HK,中国中冶,3,2,2,,1.64,20723619170,2871000000,21.95%," 33,986,735,439 "
0981.HK,中芯国际,9,28.8025,31.7063,32.4,26,7975448975,4249202076,21.95%," 207,361,673,350 "
9626.HK,哔哩哔哩-W,27,179.2617,181.6631,178.1314,149,421261417,175391014,21.92%," 62,767,951,133 "
6886.HK,华泰证券,1,15.673,16.3288,17.1333,13.4,9027302281,1719045680,21.86%," 120,965,850,565 "
1480.HK,恩达集团控股,,,,,1.01,240000000,60000000,,242400000
1481.HK,竣球控股,,,,,0.64,1020000000,270000000,,652800000
1483.HK,网誉科技,,,,,1.03,795000000,389828000,,818850000
1486.HK,思城控股,,0.671,,,0.4,288260780,120927000,,115304312
1488.HK,百福控股,,1.188,1.188,1.188,1.08,1578664000,284904000,0.1,1704957120
1489.HK,GC CONSTRUCTION,,,,,0.53,1000000000,250000000,,530000000
1490.HK,车市科技,,,1.25,,0.191,1234600000,352100000,5.544502618,235808600
1495.HK,集一控股,,0.326,0.326,0.326,0.098,263765522,153975236,2.326530612,25849021.16
1496.HK,亚积邦租赁,,,,,0.102,864000000,515792500,,88128000
1836.HK,九兴控股,3,16.5111,17.3233,,14.22,821163500,589215489,21.82%," 11,676,944,970 "
